FE/FLS/NRW,conifers,Principal species,England,Wales,Scotland,Great Britain
FE/FLS/NRW,conifers,All conifers,125,71,335,530
FE/FLS/NRW,conifers,Corsican pine,22,2,1,26
FE/FLS/NRW,conifers,Douglas fir,10,6,6,23
FE/FLS/NRW,conifers,Larches,8,5,20,33
FE/FLS/NRW,conifers,Lodgepole pine,3,2,28,34
FE/FLS/NRW,conifers,Norway spruce,7,5,12,24
FE/FLS/NRW,conifers,Other conifers,7,3,6,15
FE/FLS/NRW,conifers,Scots pine,18,2,49,70
Ownership,type,Sitka spruce,48,46,212,306
Private,conifers,Sitka spruce,31,29,302,362
Private,conifers,Scots pine,37,1,101,139
Private,conifers,Corsican pine,10,1,0,11
Private,conifers,Norway spruce,17,3,12,32
Private,conifers,Larches,21,8,38,67
Private,conifers,Douglas fir,13,4,7,23
Private,conifers,Lodgepole pine,4,2,45,51
Private,conifers,Other conifers,20,2,7,28
Private,conifers,All conifers,153,49,513,715
All,conifers,Sitka spruce,79,74,515,668
All,conifers,Scots pine,55,3,150,208
All,conifers,Corsican pine,32,2,2,36
All,conifers,Norway spruce,24,8,24,57
All,conifers,Larches,30,13,57,100
All,conifers,Douglas fir,23,10,13,46
All,conifers,Lodgepole pine,8,4,73,84
All,conifers,Other conifers,26,5,12,44
All,conifers,All conifers,278,119,848,"1,245"
FE/FLS/NRW,broadleaves,Oak,16,3,3,21
FE/FLS/NRW,broadleaves,Beech,13,2,1,15
FE/FLS/NRW,broadleaves,Sycamore,1,0,0,2
FE/FLS/NRW,broadleaves,Ash,3,1,0,4
FE/FLS/NRW,broadleaves,Birch,6,2,11,19
FE/FLS/NRW,broadleaves,Sweet chestnut,1,0,0,1
FE/FLS/NRW,broadleaves,Hazel,0,0,0,1
FE/FLS/NRW,broadleaves,Hawthorn,0,0,0,0
FE/FLS/NRW,broadleaves,Alder,1,0,1,1
FE/FLS/NRW,broadleaves,Willow,0,0,0,0
FE/FLS/NRW,broadleaves,Other broadleaves,14,9,15,38
FE/FLS/NRW,broadleaves,All broadleaves,54,16,32,102
Private,broadleaves,Oak,151,23,23,198
Private,broadleaves,Beech,59,5,15,78
Private,broadleaves,Sycamore,74,9,21,105
Private,broadleaves,Ash,120,18,15,153
Private,broadleaves,Birch,90,11,116,217
Private,broadleaves,Sweet chestnut,28,0,0,28
Private,broadleaves,Hazel,64,14,8,86
Private,broadleaves,Hawthorn,57,8,8,73
Private,broadleaves,Alder,30,10,16,56
Private,broadleaves,Willow,41,11,13,65
Private,broadleaves,Other broadleaves,133,12,29,174
Private,broadleaves,All broadleaves,849,121,265,"1,235"
All,broadleaves,Oak,167,26,26,219
All,broadleaves,Beech,72,6,15,94
All,broadleaves,Sycamore,75,9,22,106
All,broadleaves,Ash,123,19,16,157
All,broadleaves,Birch,96,12,128,236
All,broadleaves,Sweet chestnut,28,0,0,29
All,broadleaves,Hazel,65,14,8,87
All,broadleaves,Hawthorn,57,8,8,73
All,broadleaves,Alder,31,10,17,58
All,broadleaves,Willow,41,11,13,65
All,broadleaves,Other broadleaves,146,21,44,212
All,broadleaves,All broadleaves,902,137,297,"1,337"
